,category,outliers,words
201,Q7819319,"['Buellton', 'Goldendale,_Washington', 'Tarn', 'Deux-Sèvres', 'raion', 'voivodeship', '']","['Hodonín', 'Benešov', 'Vyškov', 'Slavkov_u_Brna', 'Břeclav', 'Mikulov', 'Blansko', 'Brno']"
202,Q45382,"['Hurricane_Patricia', 'Big_Bang_nucleosynthesis', 'Edwardian', 'Five_Dynasties_and_Ten_Kingdoms_period', 'leisure', 'robbery', '']","['Egyptian_Revolution_of_1952', 'Glorious_Revolution', ""1973_Chilean_coup_d'état"", '18_Brumaire', 'Decembrist_revolt', ""2013_Egyptian_coup_d'état"", 'Regime_of_the_Colonels', 'Beer_Hall_Putsch']"
203,Q1194240,"['dark_fantasy', 'Bella_Swan', 'war_novel', 'bestiary', 'Swing', 'Daemon_Tools', '']","['military_science_fiction', 'post-apocalyptic', 'hard_science_fiction', 'soft_science_fiction', 'cyberpunk', 'steampunk', 'space_opera', 'science_fantasy']"
204,Q15416,"['game_show', 'Bob_Barker', 'FidoNet', 'Apertium', '']","['SmackDown', 'Sanremo_Music_Festival', 'Big_Brother', 'Who_Wants_to_Be_a_Millionaire?', 'MythBusters', 'Zoboomafoo', 'Cheburashka', 'Junior_Eurovision_Song_Contest']"
205,Q1349648,"['county', 'Diana_Region', '10th_arrondissement_of_Paris', '11th_arrondissement_of_Paris', 'Krasnoperekopsk_Raion', 'Simferopol_Raion', '']","['Rhodes', 'Heraklion', 'Aegina', 'Larissa', 'Samothrace', 'Piraeus', 'Volos', 'Chalcis']"
206,Q506883,"['NetHack', 'SimCity', 'iWeb', 'iPhoto', 'The_Ballad_of_Gay_Tony', 'Grand_Theft_Auto_IV', '']","['Blender', 'Apertium', 'LAMP', 'Mozilla_Thunderbird', 'Linux_kernel', 'VLC_media_player', 'X_Window_System', 'Firefox']"
207,Q3305213,"['limited_animation', 'cartoon', 'Athena_Promachos', 'diorama', 'Egyptian_mathematics', 'inclusion-exclusion_principle', '']","['Liberty_Leading_the_People', 'The_Night_Watch', 'Guernica', 'Girl_with_a_Pearl_Earring', 'Mona_Lisa', 'The_Starry_Night', 'The_Birth_of_Venus', 'Las_Meninas']"
208,Q382927,"['Olympiakos_Nicosia', 'Lotto-Belisol', 'World_Association_of_Girl_Guides_and_Girl_Scouts', 'European_Handball_Federation', '']","['Vacansoleil', 'Garmin-Slipstream', 'Française_des_Jeux', 'Bouygues_Télécom', 'Skil-Shimano', 'AG2R_Prévoyance', 'IAM_Cycling', 'BMC_Racing_Team']"
209,Q5569988,"['economic_policy', 'health_policy', 'Sumgait_pogrom', ""Peasants'_Revolt"", 'Pentagon_Papers', 'Division', '']","['reform', 'socialist', 'happiness', 'hope', 'revolution', 'totalitarian', 'good', 'courage']"
210,Q182545,"['Criticism_of_Wikipedia', 'ad_hominem', 'The_Ellen_DeGeneres_Show', 'vector_graphics', 'freedom', 'Cogito_ergo_sum', '']","['alliteration', 'oxymoron', 'simile', 'hyperbole', 'aphorism', 'fable', 'metonym', 'metaphor']"
211,Q22721,"['Homberg_(Efze)', 'Freital', 'Reuth', 'Wassenach', 'Rhine-Ruhr', 'Greater_Tokyo_Area', '']","['Gießen', 'Kassel', 'Darmstadt', 'Karlsruhe', 'Leipzig', 'Tübingen', 'Chemnitz', 'Freiburg']"
212,Q185217,"['lutefisk', 'torte', 'handkerchief', 'towel', 'Kulcha', 'Fabada_Asturiana', '']","['yogurt', 'kumis', 'kefir', 'buttermilk', 'casein', 'cream', 'cheese', 'mascarpone']"
213,Q15273785,"['Langedijk', 'Texel', 'Fjarðabyggð', 'Sandgerði', '']","['Ghent', 'Bruges', 'Charleroi', 'Antwerp', 'City_of_Brussels', 'Sint-Truiden', 'Liège', 'Namur']"
214,Q33215,"['Uldum', 'The_Burning_Crusade', 'Customs_Union_of_Belarus,_Kazakhstan_and_Russia', 'European_Charter_for_Regional_or_Minority_Languages', 'Phanerozoic', 'mobile_telephony', '']","['Occidental', 'Volapük', 'Ido', 'Novial', 'Esperanto', 'Interlingua', 'Klingon', 'Toki_Pona']"
215,Q5119,"['Tarn', 'Somme', 'raion', 'department', '']","['Rome', 'Warsaw', 'Washington,_D.C.', 'Beijing', 'London', 'Madrid', 'Jerusalem', 'Paris']"
216,Q1450779,"['Beuren', 'Safaga', 'Patriarchate_of_Peć', 'Simonopetra_monastery', '']","['Bad_Wörishofen', 'Titisee-Neustadt', 'Bad_Waldsee', 'Neukirchen', 'Bad_Dürrheim', 'Freudenstadt', 'Aulendorf', 'Naumburg']"
217,Q83267,"['European_sovereign_debt_crisis', 'global_financial_crisis', 'Big_Bang_nucleosynthesis', 'Typhoon_Haiyan', 'leisure', 'Freudian_slip', '']","['fraud', 'blackmail', 'kidnapping', 'desertion', ""coup_d'état"", 'blasphemy', 'human_trafficking', 'violence']"
218,Q500834,"['Ukrainian_Cup', ""UEFA_Women's_Championship"", 'Republic_Day', 'Diamond_Jubilee_of_Elizabeth_II', '1996–97', '1997–98', '']","['Copa_Libertadores', 'Rugby_World_Cup', 'FIFA_Futsal_World_Cup', 'Six_Nations_Championship', 'Kontinental_Hockey_League', 'Cricket_World_Cup', 'Olympic_Games', 'Euroleague']"
219,Q66016,"['The_Veronicas', 'maid', 'men', 'Prince_Consort', 'Zhao_Ziyang', 'Jingtai_Emperor', '']","['Urania', 'Calliope', 'Euterpe', 'Thalia', 'Terpsichore', 'Melpomene', 'Clio', 'Erato']"
220,Q1799072,"['language_acquisition', 'scientific_method', 'Hurricane_Patricia', '1970_Bhola_cyclone', 'G1_phase', 'spawning', '']","['sculptor', 'painter', 'cladistic', 'divination', 'artificial_insemination', 'stochastic_process', 'organic_farming', 'ITIL']"
221,Q81672,"['Alison_Parker_and_Adam_Ward', 'assassination_of_John_F._Kennedy', 'Bologna_massacre', '2015_Bangkok_bombing', '']","['Charlie_Hebdo_shooting', 'assassinated', 'assassination_of_Archduke_Franz_Ferdinand_of_Austria', 'December_2013_Volgograd_bombings', '2015_Copenhagen_shootings', 'assassination_of_Abraham_Lincoln', 'Garissa_University_College_attack', '1993_World_Trade_Center_bombing']"
222,Q18564289,"['Bergpark_Wilhelmshöhe', 'Nymphenburg_Palace', 'Borgund_Stave_Church', 'Viking_Ship_Museum', 'Aapravasi_Ghat', 'Mogao_Caves', '']","['Vrhnika', 'Velenje', 'Škofja_Loka', 'Radeče', 'Jesenice', 'Cerknica', 'Beltinci', 'Ljudski_vrt']"
223,Q7830213,"['Sayreville', 'Secaucus,_New_Jersey', 'Katmai_National_Park_and_Preserve', 'Wrangell-St._Elias_National_Park_and_Preserve', 'League_of_Nations_mandate', 'department', '']","['Wayne', 'West_Orange,_New_Jersey', 'Edison', 'Montclair,_New_Jersey', 'Lakewood', 'Wyckoff', 'Teaneck,_New_Jersey', 'Toms_River']"
224,Q177691,"['perfect', 'agent', 'weed', 'commutative', 'DOC', 'domain_name', '']","['pluperfect', 'present_tense', 'imperfect', 'future_tense', 'past_tense', 'future_perfect', 'preterite', 'present_perfect']"
225,Q2989470,"['Jafara', 'Murqub_District', 'North_Tipperary', 'Kurdistan_Uyezd', '']","['Oualata', 'Kiffa', 'Rosso', 'Ouadane', 'Tichit', 'Atar', 'Nouadhibou', 'Tidjikja']"
226,Q1798622,"['Somme', 'Deux-Sèvres', 'SAP_Kosovo', 'Latgale', 'international_waters', 'Thirteen_Colonies', '']","['Red_Sea_Governorate', 'Minya_Governorate', 'Giza_Governorate', 'Cairo', 'North_Sinai', 'Alexandria', 'Aswan', 'South_Sinai']"
227,Q35666,"['Loch_Tay', 'Loch_Awe', 'Pinot_noir', 'wine_cellar', 'Kvarner_Gulf', 'Bay_of_Whales', '']","['Nevado_del_Ruiz', 'Jostedalsbreen', 'Eyjafjallajökull', 'Belukha_Mountain', 'Perito_Moreno_Glacier', 'Chimborazo', 'Cotopaxi', 'Snæfellsjökull']"
228,Q15707583,"['USS', 'Starship_Enterprise', 'Donkey_Kong', 'Mario', 'Slovio', 'Toki_Pona', '']","['gnome', 'unicorn', 'Cyclops', 'centaur', 'Minotaur', 'dragon', 'dryad', 'fairy']"
229,Q6688521,"['National_anthem_of_Yemen', 'Namdaemun', 'National_Revolutionary_Army', 'Chancellor_of_Germany', 'Greco-Bactrian_Kingdom', 'Macedon', '']","['United_States', 'China', 'Taiwan', 'United_Kingdom', 'France', 'Russia', 'Fourth_Republic', 'Soviet_Union']"
230,Q1439691,"['Cinema_of_Israel', 'art_film', 'Full_Metal_Panic!', 'art_film', 'soft_science_fiction', 'military_science_fiction', '']","['digital_photography', 'photocollage', 'daguerreotype', 'macro_photography', 'photomontage', 'photographic_processing', 'Filter', 'panoramic_camera']"
231,Q5084,"['Tuhovishta', 'Xidi', 'Kindia', 'Bariano', 'sand', 'shale', '']","['horn', 'Edwardstone', 'Mystras', 'Ten_Boer', 'Rudawa', 'Izborsk', 'Rudno', 'Paltoga']"
232,Q11303,"[""Pavlov's_House"", 'Neverland_Ranch', 'NORAD', 'transceiver', 'bread_machine', '']","['Burj_Khalifa', 'Moscow_State_University', 'Taipei_101', 'One_World_Trade_Center', 'Mirante_do_Vale', 'Willis_Tower', 'Empire_State_Building', 'Chrysler_Building']"
233,Q477248,"[""shepherd's_pie"", 'pain_au_chocolat', 'Laksa', 'dosa', 'churro', 'Skittles', '']","['baklava', 'Turkish_delight', 'Jalebi', 'Egg_tart', 'halva', 'bun', 'nougat', 'cotton_candy']"
234,Q13218690,"['Southern_Great_Plain', 'subregions_of_Hungary', 'Gilbert_Islands', 'Murqub_District', 'Les_Halles', 'Ciutat_Vella', '']","['Győr', 'Debrecen', 'Miskolc', 'Székesfehérvár', 'Pécs', 'Szeged', 'Sopron', 'Nyíregyháza']"
235,Q2207288,"['spree_killer', 'F', 'norm', 'Chōshū', 'TNT', 'media_agency', '']","['pottery', 'pianist', 'herder', 'farmer', 'fishermen', 'butcher', 'carpenter', 'barber']"
236,Q862597,"['radio_drama', 'operetta', 'statue', 'Athena_Promachos', 'age_of_the_Earth', 'Reconstruction', '']","['opera', 'madrigal', 'fugue', 'sonata', 'cantata', 'counterpoint', 'oratorio', 'suite']"
237,Q182547,"['Eastern_Province', 'Mauretania_Tingitana', 'Simferopol_Raion', 'autonomous_region', 'Lemmenjoki_National_Park', 'Rondane', '']","['Africa', 'Pannonia', 'Raetia', 'Cisalpine_Gaul', 'Hispania', 'Gallia_Narbonensis', 'Roman', 'Lusitania']"
238,Q5737899,"['High_King_of_Ireland', 'Landgrave', 'Secretary_of_the_Navy', 'Auxiliary_Bishop', 'Maharaja', ""Muhammad's_wives"", '']","['Duke_of_Burgundy', 'Emperor_of_Japan', 'baronet', 'Duke_of_Nemours', 'Aga_Khan', 'Duke_of_Luynes', 'Kohen', 'Princess_of_Orange']"
239,Q17991810,"['Dame', 'ijtihad', 'patronymic', 'Esterházy', 'Kraus', 'Bernoulli_family', '']","['Chief_Information_Officer', 'COO', 'Vice_President', 'Chief_Financial_Officer', 'creative_director', 'CTO', 'CEO', 'Chairman']"
240,Q15836568,"['Wake-on-LAN', 'X.500', 'AES', 'Unicode', 'European_emission_standards', 'ISO_639', '']","['FTP', 'TCP', 'UDP', 'HTTP', 'IP', 'IRC', 'BitTorrent', 'DNS']"
241,Q422062,"['German_Academy_of_Sciences_Leopoldina', 'mutual', 'NorrlandsOperan', 'BenQ', 'North_American_Free_Trade_Agreement', 'Eurasian_Economic_Community', '']","['Deutsche_Bahn', 'ThyssenKrupp', 'Continental_AG', 'Audi', 'Porsche', 'Deutsche_Telekom', 'Daimler_AG', 'Siemens']"
242,Q127448,"['List_of_national_parks_of_Sweden', 'Gotland', 'Gilbert_Islands', 'Line_Islands', 'Aljezur', 'Slatina', '']","['Sollentuna', 'Solna', 'Danderyd', 'Ale_Municipality', 'Huddinge', 'Botkyrka', 'Sundbyberg', 'Tyresö']"
243,Q2198855,"['Anonymous', ""Hundred_Days'_Reform"", 'lolcat', 'Polandball', 'Piper_PA-18_Super_Cub', 'Dewoitine_D.520', '']","['humanist', 'Dogme_95', 'Romanticism', 'Mannerist', 'Belle_Époque', 'Japonism', 'Symbolist', 'Baroque']"
244,Q748149,"['Linxia_Hui_Autonomous_Prefecture', 'Qiannan_Buyei_and_Miao_Autonomous_Prefecture', 'Sha_Tin_District', 'Sai_Kung_District', 'Wanzhou', 'Baoshan', '']","['Kunming', 'Nanchang', 'Suzhou', 'Ürümqi', 'Lanzhou', 'Zhengzhou', 'Lhasa', 'Changsha']"
245,Q1190554,"['Meiji_period', 'Sengoku_period', 'Reconstruction', '19th_century', '']","['precipitation', 'Counter-Reformation', 'storm', 'Boston_Tea_Party', 'goal', 'Crusades', 'German_reunification', 'Big_Bang']"
246,Q44539,"['Abbey_of_St._Gall', 'Lorsch_Abbey', 'Lotus_Temple', 'Damascus_Gate', 'General_Electric_F404', 'CFM_International_LEAP', '']","['Ġgantija', 'Temple_in_Jerusalem', 'Brihadeeswarar_Temple', 'Bayon', 'Konark_Sun_Temple', 'Jokhang', 'Bassae', 'Temple_of_Heaven']"
247,Q21011318,"['Harut_and_Marut', 'Tooth_Fairy', 'Melusine', 'Cerberus', 'Epona', '']","['Raphael', 'Uriel', 'angel_Moroni', 'Lucifer', 'Saint_Michael', 'Abaddon', 'Metatron', 'Gabriel']"
248,Q184932,"['present_perfect', 'imperfect', 'weed', 'commutative', 'affix', 'DOC', '']","['subjunctive', 'participle', 'infinitive', 'conditional', 'imperative', 'optative', 'indicative', 'gerund']"
249,Q20738811,"['district_of_Neuwied', 'Westerwaldkreis', 'Heppenheim', 'Erbach', 'Rhine-Ruhr', 'London', '']","['Coesfeld', 'Ennepe-Ruhr-Kreis', 'Euskirchen', 'Höxter', 'Minden-Lübbecke', 'Rhein-Sieg', 'Herford', 'Borken']"
250,Q559026,"['I-400_class_submarine', 'Project_611', 'Europe', 'minesweeper', 'Mary_Celeste', 'USS', '']","['Iowa-class_battleship', 'Nimitz_class_aircraft_carrier', 'Essex_class_aircraft_carrier', 'pocket_battleship', 'Yamato-class_battleship', 'Laser', 'Arleigh_Burke_class_destroyer', 'Kirov_class_battlecruiser']"
251,Q1665984,"['seismic', 'conchologist', 'relational_model', 'List_of_Tom_and_Jerry_cartoons', 'courier', 'culture', '']","['biochemistry', 'biotechnology', 'pharmacy', 'materials_science', 'computational_linguistics', 'electrochemistry', 'cognitive_science', 'climatology']"
252,Q1518096,"['county', 'South_Tipperary', '10th_arrondissement_of_Paris', '11th_arrondissement_of_Paris', 'SSR_Abkhazia', 'Rozdolne_Raion', '']","['Arvaikheer', 'Baruun-Urt', 'Sainshand', 'Uliastai', 'Bulgan', 'Zamyn-Üüd', 'Dalanzadgad', 'Kharkhorin']"
253,Q3550873,"['ppi', 'Bohr_magneton', 'Gini_coefficient', 'population_density', 'Rock_in_Rio', 'Love_Parade', '']","['MB', 'exabyte', 'KB', 'byte', 'petabyte', 'GB', 'terabyte', 'bit']"
254,Q7094076,"['Open_Directory_Project', 'online_dating', 'History_of_Africa', 'email', 'debugger', 'iWeb', '']","['Discogs', 'Diseases_Database', 'OMIM', 'eMedicine', 'Internet_Movie_Database', 'Wikidata', 'MusicBrainz', 'Find_a_Grave']"
255,Q483110,"['Circus_Maximus', 'Pokljuka', 'Damascus_Gate', 'Thames_Barrier', 'Priory_of_Sion', 'Evangelical', '']","['Stamford_Bridge', 'Camp_Nou', 'Anfield', 'Allianz_Arena', 'Estádio_do_Maracanã', 'Türk_Telekom_Arena', 'Old_Trafford', 'San_Siro']"
256,Q1145012,"['Miyama', 'Kanzaki', 'Buellton', 'Manga', 'Capital_District', 'Trujillo', '']","['Matsue', 'Mito', 'Tottori', 'Matsumoto', 'Kōfu', 'Odawara', 'Yamagata', 'Fukui']"
257,Q57831,"['Fort_Jesus', 'Belém_Tower', 'Castillo_de_San_Pedro_de_la_Roca', ""Prince's_Palace_of_Monaco"", 'National_Congress', 'Oslo_Stock_Exchange', '']","['Naarden', 'Aktobe', 'Brest_Fortress', 'Vyšehrad', 'Red_Fort', 'Fasil_Ghebbi', 'Suomenlinna', 'Peter_and_Paul_Fortress']"
258,Q2916980,"['luminosity_of_the_Sun', 'basis_point', 'apparent_magnitude', 'Gini_coefficient', 'Rock_in_Rio', 'Love_Parade', '']","['joule', 'BTU', 'erg', 'Mtoe', 'calorie', 'kWh', 'MeV', 'kiloton']"
259,Q202866,"['rotoscoping', 'flashback', 'hyperbole', 'James_while_John_had_had_had_had_had_had_had_had_had_had_had_a_better_effect_on_the_teacher', 'biology', 'molecular_physics', '']","['Lady_and_the_Tramp', 'The_Fox_and_the_Hound', 'The_Rescuers', 'The_Lion_King', ""Charlotte's_Web"", 'Bambi', 'Dumbo', 'Avatar']"
260,Q179049,"['Waterton-Glacier_International_Peace_Park', 'Canyon_de_Chelly', 'Scottish_Highlands', 'Meseta', 'Voyager_Golden_Record', 'Calvary', '']","['Gobustan', 'Vändåt', 'Mount_Nimba_Strict_Nature_Reserve', 'Khao_Yai_National_Park', 'Central_Suriname_Nature_Reserve', 'Białowieża_Forest', 'Rock_of_Gibraltar', 'Sichuan_Giant_Panda_Sanctuaries']"
261,Q134161,"['limited_liability_company', 'Brabham', 'dot-com_bubble', 'tulip_mania', 'Mack_Trucks', 'CBS_Corporation', '']","['SVT', 'Kamaz', 'IBM', 'Harley-Davidson', 'Juventus', 'AvtoVAZ', 'Canadian_Pacific_Railway', 'Commodore']"
262,Q45776,"['Sydney_Harbour', 'Moray_Firth', 'Loch_Tay', 'Bight_of_Biafra', 'Kvarner_Gulf', '']","['Randers', 'Nærøyfjord', 'Aalborg', 'Geirangerfjord', 'Sognefjorden', 'U-shaped_valley', 'Firth_of_Forth', 'Hadsund']"
263,Q755707,"['county', 'South_Tipperary', '11th_arrondissement_of_Paris', '13th_arrondissement_of_Paris', 'Armyansk', 'Simferopol_Raion', '']","['Tromsø', 'Drammen', 'Trondheim', 'Bergen', 'Lillehammer', 'Kristiansand', 'Stavanger', 'Narvik']"
264,Q11666901,"['grandfather', 'uncle', 'Mithras', 'deism', 'Ed_Sullivan', 'Christian_Atsu', '']","['mukoyōshi', 'step-brother', 'stepson', 'foster_family', 'stepfather', 'stepmother', 'stepdaughter', 'step-sister']"
265,Q1187811,"['Somme', 'Deux-Sèvres', 'department', 'voivodeship', '']","['Bern', 'Hanover', 'Frankfurt', 'Bonn', 'Zürich', 'Geneva', 'Edinburgh', 'Munich']"
266,Q6784672,"['Mixco', 'Chaidari', 'Mukacheve_Raion', 'Bakhchysarai_Raion', 'Mersch', 'Federal_Dependencies_of_Venezuela', '']","['Banská_Štiavnica', 'Levoča', 'Banská_Bystrica', 'Prešov', 'Trnava', 'Žilina', 'Nitra', 'Bardejov']"
267,Q161161,"['ZSU-23-4', '9K22_Tunguska', 'Panther_tank', 'tank', 'AGM-65_Maverick', 'Jericho_II', '']","['SU-100', 'Panzerjäger_I', 'Elefant', 'Jagdpanzer_IV', 'M18_Hellcat', 'Jagdpanther', 'Hetzer', 'Jagdtiger']"
268,Q3966183,"['Dinobot', 'Rubeus_Hagrid', 'Dalek', 'centaur', 'Nick_Fury', 'Thranduil', '']","['Pikachu', 'Mewtwo', 'Charizard', 'Wartortle', 'Bulbasaur', 'Charmander', 'Squirtle', 'Mew']"
269,Q15841920,"['Buffalo_buffalo_Buffalo_buffalo_buffalo_buffalo_Buffalo_buffalo', 'jus_cogens', 'New_World_Order', 'alibi', 'Sic_semper_tyrannis', 'Eureka', '']","['DIY', 'Ten_thousand_years', 'persona_non_grata', 'Walk_to_Canossa', 'RIP', 'I_Have_a_Dream', 'Gordian_Knot', 'status_quo']"
270,Q169930,"['Seven_Nation_Army', 'Paradise', 'phrase_book', 'Diagnostic_and_Statistical_Manual_of_Mental_Disorders', 'brazen_bull', 'signal_box', '']","['Live_?!*@_Like_a_Suicide', 'U2_discography', 'Aske', 'The_Soundhouse_Tapes', 'My_World', 'Hybrid_Theory_EP', 'Irreemplazable', 'The_Time_of_Our_Lives']"
271,Q1497375,"['Googleplex', 'Aapravasi_Ghat', 'Amalie_Arena', 'Thames_Barrier', 'Priory_of_Sion', 'Church_of_Scotland', '']","['Keukenhof', 'Belfries_of_Belgium_and_France', 'Tasmanian_Wilderness', 'Rijksmuseum', 'Augustusburg_Palace', 'Primeval_Beech_Forests_of_the_Carpathians_and_the_Ancient_Beech_Forests_of_Germany', 'Potsdamer_Platz', 'Fujian_Tulou']"
272,Q3516833,"['animated_film', 'The_Curse_of_the_Were-Rabbit', 'computer_music', 'flashback', 'Bart_the_Genius', 'Simpsons_Roasting_on_an_Open_Fire', '']","['computer-animated', 'animated_cartoon', 'rotoscoping', 'time-lapse_photography', 'motion_capture', 'storyboard', 'stop_motion', 'claymation']"
273,Q6154783,"['Olympiakos_Nicosia', 'Lotto-Belisol', 'Court_of_Arbitration_for_Sport', 'World_Association_of_Girl_Guides_and_Girl_Scouts', '']","['Team_CSC', 'Astana', 'Team_Katusha', 'Quick_Step', 'Garmin-Slipstream', 'Banesto', 'Trek_Factory_Racing', 'BMC_Racing_Team']"
274,Q15979307,"['Denbigh', 'Milford_Haven', 'Saint_Helena,_Ascension_and_Tristan_da_Cunha', 'Southwark', '']","['Monmouthshire', 'Denbighshire', 'Gwynedd', 'Flintshire', 'Powys', 'Ceredigion', 'Anglesey', 'Pembrokeshire']"
275,Q8432,"['Caesaropapism', 'communist', 'Mandaean', 'Tibetan_Buddhism', 'Tribe_of_Benjamin', 'Ephraim', '']","['Indus_Valley_Civilization', 'Greek', 'Elam', 'Ancient_Egypt', 'Aztec', 'Olmec', 'Toltec', 'Vandals']"
276,Q2031836,"['Wooden_churches_of_the_Slovak_Carpathians', 'Churches_of_Chiloé', 'Brihadeeswarar_Temple', 'Ġgantija', 'Shanhai_Pass', 'Kazan_Kremlin', '']","['Church_of_the_Savior_on_Blood', ""Saint_Isaac's_Cathedral"", 'Temple_of_Saint_Sava', ""Saint_Basil's_Cathedral"", 'Saint_Sophia_Cathedral_in_Kiev', 'Cathedral_of_Christ_the_Saviour', 'Boyana_Church', 'Alexander_Nevsky_Cathedral']"
277,Q34763,"['Albor_Tholus', 'Columbia_Plateau', 'VCD', 'SVCD', 'Levantine_Sea', 'Laptev_Sea', '']","['Iberian_Peninsula', 'Italian_Peninsula', 'Balkans', 'Crimea', 'Arabia', 'Kamchatka', 'Sinai', 'Horn_of_Africa']"
278,Q11732217,"['Bariano', 'Borghi', 'Thirteen_Colonies', 'international_waters', 'Imperial_Abbey_of_Corvey', 'Valle_de_los_Caídos', '']","['Adelebsen', 'Bardowick', 'Detern', 'Lutter_am_Barenberge', 'Bodenfelde', 'Bovenden', 'Gieboldehausen', 'Nörten-Hardenberg']"
279,Q212057,"['Yellowstone_Caldera', 'Katla', 'White_Cliffs_of_Dover', 'Columbia_Plateau', 'Gulf_of_Alaska', 'Gulf_of_Saint_Lawrence', '']","['Olympus_Mons', 'Erta_Ale', 'Emi_Koussi', 'Inaccessible_Island', 'Mauna_Loa', 'Haleakala', ""Ball's_Pyramid"", 'Tamu_Massif']"
280,Q178550,"['culverin', 'Brügger_&_Thomet_MP9', 'M60_machine_gun', 'M2_Browning', 'Heckler_&_Koch_USP', 'Glock_19', '']","['Škorpion_vz._61', 'Uzi', 'PPSh-41', 'Thompson_submachine_gun', 'MP_40', 'PPS-43', 'Sten', 'Heckler_&_Koch_UMP']"
281,Q2616791,"['Garrotxa', 'Alta_Ribagorça', 'Les_Halles', 'Ciutat_Vella', '']","['Gniezno', 'Oświęcim', 'Racibórz', 'Żagań', 'Międzyrzec_Podlaski', 'Malbork', 'Poznań', 'Zakopane']"
282,Q1780506,"['county', 'Sava_Region', '1st_arrondissement_of_Paris', '13th_arrondissement_of_Paris', 'Armyansk', 'Chornomorske', '']","['Kandi', 'Abomey', 'Ouidah', 'Porto-Novo', 'Natitingou', 'Parakou', 'Djougou', 'Cotonou']"
283,Q2089229,"['Buellton', 'Sędziszów', 'Seine-Saint-Denis', 'Somme', 'mohalla', 'countries', '']","['Red_Deer', 'Airdrie', 'Edmonton', 'Medicine_Hat', 'Grande_Prairie', 'Calgary', 'St._Albert', 'Fort_McMurray']"
284,Q15298259,"['John_Rambo', 'Ezio_Auditore_da_Firenze', 'Cyclops', 'gremlin', 'Rudolph_the_Red-Nosed_Reindeer', 'The_Phantom', '']","['Rubeus_Hagrid', 'Draco_Malfoy', 'Harry_Potter', 'Lord_Voldemort', 'Albus_Dumbledore', 'Ron_Weasley', 'Hermione_Granger', 'Severus_Snape']"
285,Q131436,"['Mensch_ärgere_dich_nicht', 'Jenga', 'tablecloth', 'curtain', '']","['draughts', 'Reversi', 'Go', 'backgammon', 'The_Settlers_of_Catan', 'Monopoly', 'chess', 'Chaturanga']"
286,Q181322,"['Bordeaux_mixture', 'nitrous_oxide', 'bupropion', '']","['dieldrin', 'DDT', 'borax', 'nicotine', 'permethrin', 'aldrin', 'Paris_Green', 'lindane']"
287,Q24764,"['Aljezur', 'Kokemäki', 'Mukacheve_Raion', 'raion', 'Vianden', 'Redange', '']","['Basco', 'Jolo', 'Baler', 'Kalibo', 'Banaue', 'Bangued', 'Prosperidad', 'El_Nido']"
288,Q941036,"['Manawatu-Wanganui', 'Bay_of_Plenty', 'Jafara', 'Vantaa', 'Vibo_Valentia', 'Venice', '']","['Hamilton', 'Christchurch', 'Invercargill', 'Kaikoura', 'Rotorua', 'Tauranga', 'Timaru', 'Dunedin']"
289,Q1752939,"['United_States_Department_of_Justice', 'United_States_Department_of_Energy', 'Bundesnachrichtendienst', 'Federal_Office_for_the_Protection_of_the_Constitution', 'Ordnungspolizei', 'Royal_Ulster_Constabulary', '']","['Federal_Communications_Commission', 'NASA', 'United_States_Postal_Service', 'Environmental_Protection_Agency', 'USAID', 'CIA', 'National_Transportation_Safety_Board', 'National_Science_Foundation']"
290,Q21518270,"['Iqaluit', 'Canyon_de_Chelly', 'Chiva', 'Beijing', 'Kõrgessaare_Parish', 'Otepää', '']","['Sacramento', 'Austin,_Texas', 'Atlanta', 'Honolulu', 'Phoenix,_Arizona', 'Salt_Lake_City', 'Boston', 'Indianapolis']"
291,Q20643324,"['dancehall', 'dub', 'norm', 'lot', 'Summa_Theologica', 'Bible_translation', '']","['zarzuela', 'operetta', 'opera_buffa', 'opéra_comique', 'opera_seria', 'Singspiel', 'intermezzo', 'grand_opera']"
292,Q42032,"['National_Revolutionary_Army', 'Hindu_deities', 'Wikipedia_community', 'main_page', 'Apicius', 'Towards_Zero', '']","['.ru', '.ad', '.ae', '.au', '.af', '.az', '.am', '.de']"
293,Q166142,"['Daemon_Tools', 'ransomware', 'handkerchief', 'gas_mask', 'Operational_plan', 'Tunisia_at_the_Olympics', '']","['Adobe_Photoshop', 'OpenOffice.org', 'Google_Chrome', 'Blender', 'AutoWikiBrowser', 'Microsoft_Word', 'Firefox', 'Opera']"
294,Q1914636,"['Big_Bang_nucleosynthesis', 'Typhoon_Haiyan', 'Edwardian', 'Sengoku_period', 'imitation', 'drug_addiction', '']","['public_relations', 'cyclist', 'martial_arts', 'fishing', 'ascetic', 'gastronomy', 'doping', 'hunting']"
295,Q12308941,"['Marina', 'Slavic_names', 'Borjigin', 'Esterházy', 'Brontë', 'Aisin_Gioro', '']","['Adam', 'atabeg', 'Brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116', 'Albert', 'Daniel', 'Ivan', 'Emil', 'Gabriel']"
296,Q11879590,"['atabeg', 'Slavic_names', 'surname', 'Hoffman', 'Aisin_Gioro', 'Bernoulli_family', '']","['Anna', 'Laura', 'Olga', 'Barbara', 'Melissa', 'Sara', 'Eva', 'Maria']"
